feature,desc,transf_initial,source,source_group,depth,"nunique, nuniquetotal",agg,include,date_col,new_name,active,comments
clientscnt12m_3712952L,Number of clients that have used the same mobile phone as the applicant in the past 12 months.,L,static0,static0,0,86,,1,,,,
clientscnt3m_3712950L,Number of clients who have the same mobile phone number in the last 3 months.,L,static0,static0,0,74,,1,,,,
clientscnt6m_3712949L,Total number of clients who have used the same mobile number in the last 6 months.,L,static0,static0,0,85,,1,,,,
cntincpaycont9m_3716944L,Number of incoming payments in the past 9 months.,L,static0,static0,0,102,,1,,,,
cntpmts24_3658933L,Number of months with any incoming payment in last 24 months.,L,static0,static0,0,27,,1,,,,
commnoinclast6m_3546845L,Number of communications indicating low income in the last six months.,L,static0,static0,0,2,,1,,,,
credamount_770A,Loan amount or credit card limit.,A,static0,static0,0,92052,,1,,,,
credtype_322L,Type of credit.,L,static0,static0,0,3,,1,,,,
currdebt_22A,Current debt amount of the client.,A,static0,static0,0,159954,,1,,,,
currdebtcredtyperange_828A,Current amount of debt of the applicant.,A,static0,static0,0,99220,,1,,,,
datefirstoffer_1144D,Date of first customer relationship management (CRM) offer.,D,static0,static0,0,1378,,1,,,,
datelastinstal40dpd_247D,Date of last instalment that was more than 40 days past due (DPD).,D,static0,static0,0,5021,,1,,,,
datelastunpaid_3546854D,Date of the last unpaid instalment.,D,static0,static0,0,5158,,1,,,,
daysoverduetolerancedd_3976961L,Number of days that past after the due date (with tolerance).,L,static0,static0,0,4323,,1,,,,
deferredmnthsnum_166L,Number of deferred months.,L,static0,static0,0,1,,1,,,,
disbursedcredamount_1113A,Disbursed credit amount after consolidation.,A,static0,static0,0,95505,,1,,,,
disbursementtype_67L,Type of disbursement.,L,static0,static0,0,4,,1,,,,
downpmt_116A,Amount of downpayment.,A,static0,static0,0,4867,,1,,,,
dtlastpmtallstes_4499206D,Date of last payment made by the applicant.,D,static0,static0,0,4388,,1,,,,
eir_270L,Interest rate.,L,static0,static0,0,102,,1,,,,
equalitydataagreement_891L,"Flag indicating sudden changes in client's social-demographic data (e.g. education, family status, housing type).",L,static0,static0,0,3,,1,,,,
equalityempfrom_62L,Flag indicating a sudden change in the client's length of employment.,L,static0,static0,0,3,,1,,,,
firstclxcampaign_1125D,Date of the client's first campaign.,D,static0,static0,0,1237,,1,,,,
firstdatedue_489D,Date of the first due date.,D,static0,static0,0,5117,,1,,,,
homephncnt_628L,Number of distinct home phones on client's application.,L,static0,static0,0,14,,1,,,,
inittransactionamount_650A,Initial transaction amount of the credit application.,A,static0,static0,0,22749,,1,,,,
inittransactioncode_186L,Transaction type of the initial credit transaction.,L,static0,static0,0,3,,1,,,,
interestrate_311L,The interest rate of the active credit contract.,L,static0,static0,0,102,,1,,,,
interestrategrace_34L,Interest rate during the grace period.,L,static0,static0,0,2,,1,,,,
isbidproduct_1095L,Flag indicating if the product is a cross-sell.,L,static0,static0,0,2,,1,,,,
isbidproductrequest_292L,Flag indicating if the product is a cross-sell.,L,static0,static0,0,2,,1,,,,
isdebitcard_729L,Flag indicating if the product is a debit card.,L,static0,static0,0,2,,0,,,,
lastactivateddate_801D,Contract activation date for previous applications.,D,static0,static0,0,4083,,1,,,,
lastapplicationdate_877D,Date of previous customer's application.,D,static0,static0,0,5208,,1,,,,
lastapprcommoditycat_1041M,Commodity category of the last loan applications made by the applicant.,M,static0,static0,0,42,,1,,,,
lastapprcommoditytypec_5251766M,Commodity type of the last application.,M,static0,static0,0,214,,1,,,,
lastapprcredamount_781A,Credit amount from the client's last application.,A,static0,static0,0,68116,,1,,,,
lastapprdate_640D,Date of approval on client's most recent previous application.,D,static0,static0,0,5301,,1,,,,
lastcancelreason_561M,Cancellation reason of the last application.,M,static0,static0,0,67,,1,,,,
lastdelinqdate_224D,Date of the last delinquency occurrence.,D,static0,static0,0,3960,,1,,,,
lastdependentsnum_448L,Number of dependents in the client's last loan application.,L,static0,static0,0,10,,1,,,,
lastotherinc_902A,Amount of other income reported by the client in their last application.,A,static0,static0,0,20,,1,,,,
lastotherlnsexpense_631A,Monthly expenses on other loans from the last application.,A,static0,static0,0,126,,1,,,,
lastrejectcommoditycat_161M,Category of commodity in the applicant's last rejected application.,M,static0,static0,0,40,,1,,,,
lastrejectcommodtypec_5251769M,Commodity type of the last rejected application.,M,static0,static0,0,187,,1,,,,
lastrejectcredamount_222A,Credit amount on last rejected application.,A,static0,static0,0,40868,,1,,,,
lastrejectdate_50D,Date of most recent rejected application by the applicant.,D,static0,static0,0,5321,,1,,,,
lastrejectreason_759M,Reason for rejection on the most recent rejected application.,M,static0,static0,0,17,,1,,,,
lastrejectreasonclient_4145040M,Reason for the client's last loan rejection.,M,static0,static0,0,14,,1,,,,
lastrepayingdate_696D,Date of the last payment made by the applicant.,D,static0,static0,0,298,,1,,,,
lastst_736L,Status of the client's previous credit application.,L,static0,static0,0,12,,1,,,,
maininc_215A,Client's primary income amount.,A,static0,static0,0,4069,,1,,,,
mastercontrelectronic_519L,Flag indicating the existence of the master contract for the client.,L,static0,static0,0,2,,1,,,,
mastercontrexist_109L,Flag indicating whether or not the applicant has an existing master contract.,L,static0,static0,0,2,,1,,,,
maxannuity_159A,Maximum annuity previously obtained by client.,A,static0,static0,0,175921,,1,,,,
maxannuity_4075009A,Maximal annuity offered to the client in the current application.,A,static0,static0,0,3552,,1,,,,
maxdbddpdlast1m_3658939P,Maximum number of days past due in the last month. A negative value indicates the number of days before the due date.,P,static0,static0,0,1531,,1,,,,
maxdbddpdtollast12m_3658940P,Maximum number of days past due in last 12 months. A negative value implies days before due date.,P,static0,static0,0,3048,,1,,,,
maxdbddpdtollast6m_4187119P,Maximum number of days past due in last 6 months. This predictor takes the value as a negative number when it represents days before due date.,P,static0,static0,0,2302,,1,,,,
maxdebt4_972A,Maximal principal debt of the client in the history older than 4 months.,A,static0,static0,0,207891,,1,,,,
maxdpdfrom6mto36m_3546853P,Maximum Days Past Due (DPD) in the period ranging from 6 to 36 months.,P,static0,static0,0,3280,,1,,,,
maxdpdinstldate_3546855D,Date of instalment on which client was most days past due.,D,static0,static0,0,5196,,1,,,,
maxdpdinstlnum_3546846P,Instalment number of which client was most days past due.,P,static0,static0,0,63,,1,,,,
maxdpdlast12m_727P,Maximum days past due in the past 12 months.,P,static0,static0,0,2428,,1,,,,
maxdpdlast24m_143P,Maximal days past due in the last 24 months.,P,static0,static0,0,3129,,1,,,,
maxdpdlast3m_392P,Maximum number of days past due in last 3 months.,P,static0,static0,0,1127,,1,,,,
maxdpdlast6m_474P,Maximum days past due in the last 6 months.,P,static0,static0,0,1629,,1,,,,
maxdpdlast9m_1059P,Maximum days past due in last 9 months.,P,static0,static0,0,2052,,1,,,,
maxdpdtolerance_374P,Maximum number of days past due (with tolerance).,P,static0,static0,0,3584,,1,,,,
maxinstallast24m_3658928A,Maximum instalment in the last 24 months,A,static0,static0,0,142613,,1,,,,
maxlnamtstart6m_4525199A,Maximum loan amount started in the last 6 months.,A,static0,static0,0,163874,,1,,,,
maxoutstandbalancel12m_4187113A,Maximum outstanding balance in the last 12 months.,A,static0,static0,0,233546,,1,,,,
maxpmtlast3m_4525190A,Maximum payment made by the client in the last 3 months.,A,static0,static0,0,98639,,1,,,,
mindbddpdlast24m_3658935P,Minimum days past due (or days before due) in last 24 months.,P,static0,static0,0,3357,,1,,,,
mindbdtollast24m_4525191P,Minimum days before due in last 24 months.,P,static0,static0,0,3350,,1,,,,
mobilephncnt_593L,Number of persons with the same mobile phone number.,L,static0,static0,0,22,,1,,,,
monthsannuity_845L,Monthly annuity amount for the applicant.,L,static0,static0,0,168,,1,,,,
numactivecreds_622L,Number of active credits.,L,static0,static0,0,8,,1,,,,
numactivecredschannel_414L,Number of active credits.,L,static0,static0,0,5,,1,,,,
numactiverelcontr_750L,Number of active revolving credits.,L,static0,static0,0,7,,1,,,,
numcontrs3months_479L,Number of contracts in last 3 months.,L,static0,static0,0,42,,1,,,,
numincomingpmts_3546848L,Number of incoming payments.,L,static0,static0,0,333,,1,,,,
numinstlallpaidearly3d_817L,Number of instalments paid at least 3 days prior to their due date.,L,static0,static0,0,287,,1,,,,
numinstls_657L,Number of instalments.,L,static0,static0,0,290,,1,,,,
numinstlsallpaid_934L,Number of paid instalments.,L,static0,static0,0,302,,1,,,,
numinstlswithdpd10_728L,Number of instalments that were overdue for 10 or more days.,L,static0,static0,0,143,,1,,,,
numinstlswithdpd5_4187116L,Number of instalments that were overdue by at least 5 days.,L,static0,static0,0,79,,1,,,,
numinstlswithoutdpd_562L,Number of instalments that were not past due date.,L,static0,static0,0,368,,1,,,,
numinstmatpaidtearly2d_4499204L,Number of instalments that have been paid more than 2 days before their due date.,L,static0,static0,0,288,,1,,,,
numinstpaid_4499208L,Number of paid instalments.,L,static0,static0,0,319,,1,,,,
numinstpaidearly_338L,Number of installments paid prior to the due date.,L,static0,static0,0,264,,1,,,,
numinstpaidearly3d_3546850L,Number of instalments paid more than three days before the due date.,L,static0,static0,0,280,,1,,,,
numinstpaidearly3dest_4493216L,Number of instalments that have been paid more than 3 days in advance of the due date.,L,static0,static0,0,280,,1,,,,
numinstpaidearly5d_1087L,Number of instalments paid more than 5 days prior to the due date.,L,static0,static0,0,51,,1,,,,
numinstpaidearly5dest_4493211L,Number of instalments that were paid more than 5 days before the due date.,L,static0,static0,0,51,,1,,,,
numinstpaidearly5dobd_4499205L,Number of installments paid more than 5 days prior to the due date.,L,static0,static0,0,264,,1,,,,
numinstpaidearlyest_4493214L,Number of instalments paid before the due date.,L,static0,static0,0,264,,1,,,,
numinstpaidlastcontr_4325080L,Number of paid installments from the client's last contract.,L,static0,static0,0,65,,1,,,,
numinstpaidlate1d_3546852L,Number of instalments paid more than 1 day past their due date.,L,static0,static0,0,115,,1,,,,
numinstregularpaid_973L,Number of fully paid regular installments in the client's previous contracts.,L,static0,static0,0,318,,1,,,,
numinstregularpaidest_4493210L,Number of fully paid regular installments on clients' previous contracts.,L,static0,static0,0,319,,1,,,,
numinsttopaygr_769L,Number of unpaid instalments.,L,static0,static0,0,105,,1,,,,
numinsttopaygrest_4493213L,Number of unpaid instalments.,L,static0,static0,0,105,,1,,,,
numinstunpaidmax_3546851L,Maximum number of unpaid instalments.,L,static0,static0,0,64,,1,,,,
numinstunpaidmaxest_4493212L,Maximum number of unpaid instalments.,L,static0,static0,0,64,,1,,,,
numnotactivated_1143L,Number of non-activated credits.,L,static0,static0,0,5,,1,,,,
numpmtchanneldd_318L,Number of previous loan contracts for the applicant that had direct debit as payment channel.,L,static0,static0,0,5,,1,,,,
numrejects9m_859L,Number of credit applications that were rejected in the last 9 months.,L,static0,static0,0,62,,1,,,,
opencred_647L,Number of active loans from the previous application.,L,static0,static0,0,3,,1,,,,
paytype_783L,Type of payment.,L,static0,static0,0,2,,0,,,,
paytype1st_925L,Type of first payment of the client.,L,static0,static0,0,2,,0,,,,
payvacationpostpone_4187118D,Date of last payment holiday instalment.,D,static0,static0,0,570,,1,,,,
pctinstlsallpaidearl3d_427L,Percentage of installments paid at least 3 days prior to the due date.,L,static0,static0,0,8863,,1,,,,
pctinstlsallpaidlat10d_839L,Percentage of installments that were paid 10 or more days after the due date.,L,static0,static0,0,4179,,1,,,,
pctinstlsallpaidlate1d_3546856L,Percentage of installments that are paid 1 or more days after the due date.,L,static0,static0,0,6328,,1,,,,
pctinstlsallpaidlate4d_3546849L,Percentage of installments that were paid 4 or more days past their due date.,L,static0,static0,0,5203,,1,,,,
pctinstlsallpaidlate6d_3546844L,Percentage of installments that were paid 6 or more days past their due date.,L,static0,static0,0,4783,,1,,,,
pmtnum_254L,Total number of loan payments made by the client.,L,static0,static0,0,40,,1,,,,
posfpd10lastmonth_333P,Average FPD10 (Share of contracts with first installment past due more than 10 days) from point of sales that processed contract in the previous month.,P,static0,static0,0,3,,1,,,,
posfpd30lastmonth_3976960P,Average FPD30 (Share of contracts with first installment past due more than 30 days) from point of sales that processed contract in the previous month.,P,static0,static0,0,3,,1,,,,
posfstqpd30lastmonth_3976962P,"Average FSTPD30 (share of contracts with first, second, or third installment past due more than 30 days) from point of sale that processed contract in the last month.",P,static0,static0,0,3,,1,,,,
previouscontdistrict_112M,Contact district of the client's previous approved application.,M,static0,static0,0,223,,0,,,,
price_1097A,Credit price.,A,static0,static0,0,86628,,1,,,,
sellerplacecnt_915L,Number of sellerplaces where the same client's document was used.,L,static0,static0,0,9,,1,,,,
sellerplacescnt_216L,Number of sellerplaces where the same client's mobile phone was used.,L,static0,static0,0,65,,1,,,,
sumoutstandtotal_3546847A,Sum of total outstanding amount.,A,static0,static0,0,159895,,1,,,,
sumoutstandtotalest_4493215A,Sum of total outstanding amount.,A,static0,static0,0,159866,,1,,,,
totaldebt_9A,Total amount of debt.,A,static0,static0,0,159977,,1,,,,
totalsettled_863A,Sum of all payments made by the client.,A,static0,static0,0,314655,,1,,,,
totinstallast1m_4525188A,Total amount of monthly instalments paid in the previous month.,A,static0,static0,0,95013,,1,,,,
twobodfilling_608L,Type of application process.,L,static0,static0,0,3,,1,,,,
typesuite_864L,Persons accompanying the client during the loan application process.,L,static0,static0,0,2,,1,,,,
validfrom_1069D,Date since the client has an active campaign.,D,static0,static0,0,258,,1,,,,
assignmentdate_238D,Tax authority data - date of assignment.,D,staticcb0,staticcb0,0,8888,,1,,,,
assignmentdate_4527235D,Tax authority data - Date of assignment.,D,staticcb0,staticcb0,0,373,,1,,,,
assignmentdate_4955616D,Tax authority assignment date.,D,staticcb0,staticcb0,0,7566,,1,,,,
birthdate_574D,Client's date of birth (credit bureau data).,D,staticcb0,staticcb0,0,668,,1,,,,
contractssum_5085716L,Total sum of values of contracts retrieved from external credit bureau.,L,staticcb0,staticcb0,0,136291,,1,,,,
dateofbirth_337D,Client's date of birth.,D,staticcb0,staticcb0,0,725,,1,,,,
dateofbirth_342D,Client's date of birth.,D,staticcb0,staticcb0,0,665,,1,,,,
days120_123L,Number of credit bureau queries for the last 120 days.,L,staticcb0,staticcb0,0,46,,1,,,,
days180_256L,Number of credit bureau queries for last 180 days.,L,staticcb0,staticcb0,0,60,,1,,,,
days30_165L,Number of credit bureau queries for the last 30 days.,L,staticcb0,staticcb0,0,23,,1,,,,
days360_512L,Number of Credit Bureau queries for last 360 days.,L,staticcb0,staticcb0,0,93,,1,,,,
days90_310L,Number of credit bureau queries for the last 90 days.,L,staticcb0,staticcb0,0,38,,1,,,,
description_5085714M,Categorization of clients by credit bureau.,M,staticcb0,staticcb0,0,2,,1,,,,
education_1103M,Level of education of the client provided by external source.,M,staticcb0,staticcb0,0,5,,1,,,,
education_88M,Education level of the client.,M,staticcb0,staticcb0,0,5,,1,,,,
firstquarter_103L,Number of results obtained from credit bureau in the first quarter.,L,staticcb0,staticcb0,0,62,,1,,,,
for3years_128L,Number of rejected applications in the past 3 years.,L,staticcb0,staticcb0,0,3,,1,,,,
for3years_504L,Client's credit history data over the last three years.,L,staticcb0,staticcb0,0,55,,1,,,,
for3years_584L,Number of cancellations in the last 3 years.,L,staticcb0,staticcb0,0,4,,1,,,,
formonth_118L,Number of rejections in a month.,L,staticcb0,staticcb0,0,2,,1,,,,
formonth_206L,Number of cancelations in the previous month.,L,staticcb0,staticcb0,0,3,,1,,,,
formonth_535L,Credit history for the last month.,L,staticcb0,staticcb0,0,10,,1,,,,
forquarter_1017L,Number of cancellations recorded in the credit bureau in the last quarter.,L,staticcb0,staticcb0,0,4,,1,,,,
forquarter_462L,Number of credit applications that were rejected in the last quarter.,L,staticcb0,staticcb0,0,2,,1,,,,
forquarter_634L,Credit history for the last quarter.,L,staticcb0,staticcb0,0,16,,1,,,,
fortoday_1092L,Client's credit history for today.,L,staticcb0,staticcb0,0,4,,1,,,,
forweek_1077L,Number of cancelations in the last week.,L,staticcb0,staticcb0,0,3,,1,,,,
forweek_528L,Credit history for the last week.,L,staticcb0,staticcb0,0,6,,1,,,,
forweek_601L,Number of rejected applications in the last week.,L,staticcb0,staticcb0,0,2,,1,,,,
foryear_618L,Number of application rejections in the previous year.,L,staticcb0,staticcb0,0,3,,1,,,,
foryear_818L,Number of cancelations that occurred in last year.,L,staticcb0,staticcb0,0,4,,1,,,,
foryear_850L,Credit history for the last year.,L,staticcb0,staticcb0,0,38,,1,,,,
fourthquarter_440L,Number of results in fourth quarter.,L,staticcb0,staticcb0,0,55,,1,,,,
maritalst_385M,Marital status of the client.,M,staticcb0,staticcb0,0,6,,1,,,,
maritalst_893M,Marital status of the client,M,staticcb0,staticcb0,0,6,,1,,,,
numberofqueries_373L,Number of queries to credit bureau.,L,staticcb0,staticcb0,0,93,,1,,,,
pmtaverage_3A,Average of tax deductions.,A,staticcb0,staticcb0,0,40003,,1,,,,
pmtaverage_4527227A,Average of tax deductions.,A,staticcb0,staticcb0,0,30527,,1,,,,
pmtaverage_4955615A,Average of tax deductions.,A,staticcb0,staticcb0,0,32268,,1,,,,
pmtcount_4527229L,Number of tax deductions.,L,staticcb0,staticcb0,0,16,,1,,,,
pmtcount_4955617L,Number of tax deductions.,L,staticcb0,staticcb0,0,17,,1,,,,
pmtcount_693L,Number of tax deductions.,L,staticcb0,staticcb0,0,40,,1,,,,
pmtscount_423L,Number of tax deduction payments.,L,staticcb0,staticcb0,0,67,,1,,,,
pmtssum_45A,Sum of tax deductions for the client.,A,staticcb0,staticcb0,0,265230,,1,,,,
requesttype_4525192L,Tax authority request type.,L,staticcb0,staticcb0,0,4,,1,,,,
responsedate_1012D,Tax authority's response date.,D,staticcb0,staticcb0,0,293,,1,,,,
responsedate_4527233D,Tax authority's response date.,D,staticcb0,staticcb0,0,398,,1,,,,
responsedate_4917613D,Tax authority's response date.,D,staticcb0,staticcb0,0,208,,1,,,,
riskassesment_302T,Estimated probability that the client will default on their credit obligation within the next year.,T,staticcb0,staticcb0,0,17,,1,,,,
riskassesment_940T,Estimate of client's creditworthiness.,T,staticcb0,staticcb0,0,204,,1,,,,
secondquarter_766L,Number of results in second quarter.,L,staticcb0,staticcb0,0,56,,1,,,,
thirdquarter_1082L,Number of results in third quarter.,L,staticcb0,staticcb0,0,53,,1,,,,
amount_4527230A,Tax deductions amount tracked by the government registry.,A,taxregistrya1,taxregistrya1,1,92743,"mean, max, var",1,,,,
name_4527232M,Name of employer.,M,taxregistrya1,taxregistrya1,1,147037,"mean, max, var",0,,,,
recorddate_4527225D,Date of tax deduction record.,D,taxregistrya1,taxregistrya1,1,397,"mean, max, var",1,1,,,
amount_4917619A,Tax deductions amount tracked by the government registry.,A,taxregistryb1,taxregistryb1,1,191635,"mean, max, var",1,,,,
deductiondate_4917603D,Tax deduction date.,D,taxregistryb1,taxregistryb1,1,260,"mean, max, var",0,,,,
name_4917606M,Name of employer.,M,taxregistryb1,taxregistryb1,1,55857,"mean, max, var",0,,,,
employername_160M,Employer's name.,M,taxregistryc1,taxregistryc1,1,152835,"mean, max, var",0,,,,
pmtamount_36A,Tax deductions amount for credit bureau payments.,A,taxregistryc1,taxregistryc1,1,572321,"mean, max, var",1,,,,
processingdate_168D,Date when the tax deduction is processed.,D,taxregistryc1,taxregistryc1,1,325,"mean, max, var",0,,,,
score_940,Estimate of client's creditworthiness.,0,,0,,,,1,,,,